Row Labels,Average of Winkler Method Top Dissolved Oxygen (mg/L)
1942,5.97
1944,5.85
1945,5.77
1946,5.67
1947,5.23
1948,5.02
1949,6.42
1950,4.94
1951,5.67
1952,4.78
1953,5.59
1954,5.23
1955,5.68
1956,5.41
1957,5.26
1958,6.53
1959,6.11
1960,5.58
1961,5.48
1962,5.46
1963,5.94
1964,5.26
1965,5.59
1966,5.87
1967,7.49
1968,7.14
1969,6.66
1970,6.17
1971,6.94
1972,6.90
1973,6.05
1974,6.22
1975,6.83
1976,7.00
1977,6.77
1978,6.53
1979,7.55
1980,7.05
1981,7.97
1982,6.94
1983,7.35
1984,6.35
1985,6.58
1986,7.35
1987,6.29
1988,7.86
1989,8.13
1990,7.41
1991,8.37
1992,9.47
1993,9.03
1994,8.73
1995,8.98
1996,8.76
1997,9.43
1998,9.35
1999,8.54
2000,9.13
2001,8.25
2002,8.36
2003,9.70
2004,8.10
2005,8.21
2006,8.29
2007,8.06
2008,8.86
2009,9.27
2010,8.45
2011,8.27
2012,7.87
2013,8.60
2014,7.93
2015,8.12
2016,7.88
2017,7.99
2018,8.17
2019,7.54
2020,9.17
Grand Total,8.05
